Date,Time,State,PuFrom,Address,Street,Airport,Location in Airport
2014.08.22,04:00,NY                                                                                                                           ,MANHATTAN,145,E 39 ST             ,,
2014.08.11,04:15,NY                                                                                                                           ,MANHATTAN,247,CENTRE ST           ,,
2014.08.19,03:45,NY                                                                                                                           ,MANHATTAN,170,E 3 ST              ,,
2014.08.19,08:15,NY                                                                                                                           ,MANHATTAN,131,CHARLES ST          ,,
2014.08.03,08:30,NY                                                                                                                           ,MANHATTAN,148,CHAMBERS ST         ,,
2014.08.17,05:15,NY                                                                                                                           ,MANHATTAN,533,CANAL ST            ,,
2014.08.17,07:00,NY                                                                                                                           ,MANHATTAN,54,MORTON ST           ,,
2014.08.17,04:00,NY                                                                                                                           ,MANHATTAN,247,WADSWORTH AVE       ,,
2014.08.17,09:00,NY                                                                                                                           ,MANHATTAN,200,RECTOR PL           ,,
2014.07.31,07:30,NY                                                                                                                           ,MANHATTAN,92,E 7 ST              ,,
2014.08.01,04:00,NY                                                                                                                           ,MANHATTAN,260,W 54 ST             ,,
2014.08.23,12:30,NY                                                                                                                           ,MANHATTAN,330,1 AVE               ,,
2014.08.13,06:30,NY                                                                                                                           ,MANHATTAN,145,E 15 ST             ,,
2014.08.22,04:46,NY                                                                                                                           ,MANHATTAN,19,E 34 ST             ,,
2014.08.24,09:45,NY                                                                                                                           ,MANHATTAN,70,E 10 ST             ,,
2014.08.28,09:45,NY                                                                                                                           ,MANHATTAN,270,PARK AVE            ,,
2014.08.24,05:50,NY                                                                                                                           ,MANHATTAN,29,BROADWAY            ,,
2014.08.06,07:00,NY                                                                                                                           ,MANHATTAN,167,PERRY ST            ,,
2014.08.29,06:15,NY                                                                                                                           ,MANHATTAN,400,CHAMBERS ST         ,,
2014.08.22,08:30,NY                                                                                                                           ,MANHATTAN,410,E 9 ST              ,,
2014.08.03,04:00,NY                                                                                                                           ,MANHATTAN,339,E 33 ST             ,,
2014.08.18,05:30,NY                                                                                                                           ,MANHATTAN,60,E  8 ST             ,,
2014.08.23,06:00,NY                                                                                                                           ,JFK,      ,                    ,JFK,DELTA TERM 4 P/U AREA C
2014.08.24,04:00,NY                                                                                                                           ,MANHATTAN,200,W 15 ST             ,,
2014.08.31,06:30,NY                                                                                                                           ,MANHATTAN,301,PARK AVE            ,,
