Date,Time,State,PuFrom,Address,Street
2014.08.18,5:30,NY                                                                                                                           ,MANHATTAN,60,E  8 ST             
2014.08.23,6:00,JFK DELTA TERM 4  P/U AREA C                                                                                                 ,,      ,                    
2014.08.24,4:00,NY                                                                                                                           ,MANHATTAN,200,W 15 ST             
2014.08.31,6:30,NY                                                                                                                           ,MANHATTAN,301,PARK AVE            
2014.08.30,3:30,NY                                                                                                                           ,MANHATTAN,20,WATERSIDE PLAZA     
2014.08.19,7:15,NY                                                                                                                           ,MANHATTAN,325,NORTH END AVE       
2014.08.25,8:30,NY                                                                                                                           ,MANHATTAN,15,W 11 ST             
2014.08.25,4:15,NY                                                                                                                           ,MANHATTAN,361,E 10 ST             
2014.08.22,7:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          
2014.08.10,9:30,NY                                                                                                                           ,MANHATTAN,375,SOUTH END AVE       
2014.08.18,3:45,NY                                                                                                                           ,MANHATTAN,170,E 112 ST            
2014.08.18,6:45,NY                                                                                                                           ,MANHATTAN,435,E 14 ST             
2014.08.30,7:00,NY                                                                                                                           ,MANHATTAN,400,E 56 ST             
2014.08.15,5:00,NY                                                                                                                           ,MANHATTAN,201,E 28 ST             
2014.08.21,4:00,NY                                                                                                                           ,MANHATTAN,309,W 57 ST             
2014.08.29,5:00,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
2014.08.18,4:45,NY                                                                                                                           ,MANHATTAN,40,HARRISON ST         
2014.08.16,7:15,NY                                                                                                                           ,MANHATTAN,111,Worth St            
2014.08.08,4:00,NY                                                                                                                           ,MANHATTAN,332,E 15 ST             
2014.08.26,6:45,NY                                                                                                                           ,MANHATTAN,182,DUANE ST            
2014.08.30,9:30,NY                                                                                                                           ,MANHATTAN,124,W HOUSTON ST        
2014.09.14,9:24,NY                                                                                                                           ,MANHATTAN,790,12 AVE              
2014.08.16,4:52,NY                                                                                                                           ,MANHATTAN,50,VANDERBILT AVE      
2014.08.31,9:30,NY                                                                                                                           ,MANHATTAN,200,SPRING ST           
2014.08.31,11:00,NY                                                                                                                           ,MANHATTAN,27,W 11 St             
2014.08.28,4:00,NY                                                                                                                           ,MANHATTAN,300,W 55 ST             
2014.08.28,7:14,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.08.28,6:15,NY                                                                                                                           ,MANHATTAN,225,E 4 ST              
2014.09.07,7:52,JFK EL AL Pickup Area C                                                                                                      ,,      ,                    
2014.08.20,5:30,NY                                                                                                                           ,MANHATTAN,220,E 65 ST             
2014.08.27,4:15,NY                                                                                                                           ,MANHATTAN,210,Sullivan St         
2014.08.27,6:15,NY                                                                                                                           ,MANHATTAN,520,W 43 ST             
2014.08.29,7:30,NY                                                                                                                           ,MANHATTAN,60,W 23 ST             
2014.08.23,10:15,NY                                                                                                                           ,MANHATTAN,375,SOUTH END AVE       
2014.08.30,6:00,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         
2014.08.30,4:45,NY                                                                                                                           ,MANHATTAN,395,SOUTH END AVE       
2014.09.03,7:30,NY                                                                                                                           ,MANHATTAN,80,5 AVE               
2014.09.03,4:15,NY                                                                                                                           ,MANHATTAN,280,PARK AVE S          
2014.08.20,11:15,NY                                                                                                                           ,QUEENS,3138,38 St               
2014.09.07,4:37,NY                                                                                                                           ,MANHATTAN,320,PEARL ST            
2014.09.02,3:45,NY                                                                                                                           ,MANHATTAN,120,E 87 ST             
2014.09.02,6:15,NY                                                                                                                           ,MANHATTAN,100,MAIDEN LA           
2014.09.11,7:45,NY                                                                                                                           ,MANHATTAN,145,E 27 ST             
2014.09.11,4:15,NY                                                                                                                           ,MANHATTAN,433,W 43 ST             
2014.09.09,7:00,NY                                                                                                                           ,QUEENS,3044,29 ST               
2014.09.01,8:15,NY                                                                                                                           ,MANHATTAN,811,7 AVE               
2014.08.23,9:25,NY                                                                                                                           ,MANHATTAN,116,E 30 ST             
2014.08.23,13:30,NY                                                                                                                           ,MANHATTAN,245,E 124 ST            
2014.08.25,6:20,JFK DELTA TERM 2  CURBSIDE                                                                                                   ,,      ,                    
2014.09.01,9:30,NY                                                                                                                           ,MANHATTAN,88,LEONARD ST          
2014.09.01,4:15,NY                                                                                                                           ,MANHATTAN,42,W 73 ST             
2014.09.01,5:59,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
2014.08.23,4:00,NY                                                                                                                           ,MANHATTAN,215,W 88 ST             
2014.09.11,5:45,NY                                                                                                                           ,MANHATTAN,236,W 15 ST             
2014.08.21,6:30,NY                                                                                                                           ,MANHATTAN,1,CHRISTOPHER ST      
2014.08.31,4:30,NY                                                                                                                           ,QUEENS,5012,VERNON BLVD         
2014.09.08,6:45,NY                                                                                                                           ,MANHATTAN,28,E 22 ST             
2014.09.08,4:00,NY                                                                                                                           ,MANHATTAN,90,WILLIAM ST          
2014.09.09,4:00,NY                                                                                                                           ,MANHATTAN,183,W 10 ST             
2014.09.05,8:30,NY                                                                                                                           ,MANHATTAN,440,E 23 ST             
2014.09.15,4:15,NY                                                                                                                           ,MANHATTAN,309,E 49 ST             
2014.09.05,6:15,NY                                                                                                                           ,MANHATTAN,155,E 29 ST             
2014.09.06,4:15,NY                                                                                                                           ,MANHATTAN,333,E 34 ST             
2014.09.04,4:15,NY                                                                                                                           ,MANHATTAN,154,W 27 ST             
2014.08.26,4:15,NY                                                                                                                           ,MANHATTAN,2025,BROADWAY            
2014.08.29,4:00,NY                                                                                                                           ,MANHATTAN,21,E 52 ST             
2014.09.02,5:00,NY                                                                                                                           ,MANHATTAN,312,11 AVE              
2014.09.04,8:04,EWR UNITED DOOR 2                                                                                                            ,,      ,                    
2014.09.07,7:00,NY                                                                                                                           ,MANHATTAN,30,E 9 ST              
2014.09.09,5:45,NY                                                                                                                           ,MANHATTAN                               ,200,RECTOR PL           
2014.09.07,8:50,NY                                                                                                                           ,MANHATTAN,641,12 AVE              
2014.09.13,6:30,NY                                                                                                                           ,QUEENS,1040,46 RD               
2014.09.15,7:05,JFK JET BLUE DOMESTIC PICK UP AREA 3                                                                                         ,,      ,                    
